Country,Player,Age,MP,Starts,Minutes,fullgmsplayed,Gls,Ast,G_PK,PK,PKatt,CrdY,CrdR,Gls_90,Ast_90,G_A_90,G_PK_90,G_A_PK_90
Canada,Tajon Buchanan,22,17,12,1123,12.50,3,4,3,0,0,3,0,0.24,0.32,0.56,0.24,0.56
Canada,Alphonso Davies,21,13,12,1051,11.70,4,8,3,1,1,1,0,0.34,0.69,1.03,0.26,0.94
Canada,Cyle Larin,26,16,12,1001,11.10,13,0,12,1,1,0,0,1.17,0.00,1.17,1.08,1.08
Canada,Sam Adekugbe,27,18,11,1110,12.30,1,2,1,0,0,2,0,0.08,0.16,0.24,0.08,0.24
Canada,Steven Vitória,35,12,11,1044,11.60,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00
Canada,Jonathan Osorio,29,16,11,908,10.10,1,1,1,0,0,1,0,0.10,0.10,0.20,0.10,0.20
Canada,Mark-Anthony Kaye,27,15,11,854,9.50,2,3,2,0,1,4,1,0.21,0.32,0.53,0.21,0.53
Canada,Kamal Miller,24,13,10,953,10.60,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Canada,Atiba Hutchinson,38,11,8,761,8.50,2,0,2,0,0,1,0,0.24,0.00,0.24,0.24,0.24
Canada,Scott Kennedy,24,8,7,592,6.60,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Canada,Junior Hoilett,31,13,7,591,6.60,3,1,2,1,1,1,0,0.46,0.15,0.61,0.30,0.46
Canada,Doneil Henry,28,8,7,560,6.20,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
Canada,Maxime Crépeau,27,5,5,450,5.00,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Canada,Liam Millar,22,7,5,329,3.70,0,1,0,0,0,0,0,0.00,0.27,0.27,0.00,0.27
Canada,Samuel Piette,27,8,4,330,3.70,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Canada,Lucas Cavallini,29,10,3,319,3.50,5,0,5,0,0,2,0,1.41,0.00,1.41,1.41,1.41
Canada,David Wotherspoon,32,8,3,310,3.40,1,3,1,0,0,0,0,0.29,0.87,1.16,0.29,1.16
